CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
J181,Rainbow Yunusemre Manisa,Muradiye Mh. 13. Sokak No:228/1,Manisa,YUNUSEMRE,38.647966,27.349039,Magaza
A3310,Hacýlar  Kayseri,Yeni mah. Çavuþ oðlu cad. ,Kayseri,HACILAR,38.6485,35.4524,Magaza
D148,Meydan Saray Van,Mahmudiye Mh. 6 3 Nisan CaddesiN:6,Van,SARAY,38.64912,44.168733,Magaza
H563,Halk Konutlarý Merkez Uþak,Cumhuriyet Mh. 6. Özyurt Sokak No:3N:29/AN:29/AN:1,Usak,MERKEZ,38.650159,29.39798,Magaza
I572,Atatürk Caddesi Cihanbeyli Konya,Cumhuriyet Mh. 60621. Sokak No:No:44/B 10-11N:,Konya,CIHANBEYLI,38.650291,32.928388,Magaza
E514,Karaali Yunusemre Manisa,Karaali Mh. 17/A 302. Sokak,Manisa,YUNUSEMRE,38.650357,27.327772,Magaza
H651,Burcu Sokak Merkez Uþak,Fatih Mh. 2. Burcu Sokak No:81/AN:81/AN:81N:81/A,Usak,MERKEZ,38.650852,29.414671,Magaza
C743,Ada Konutlarý Merkez Nevþehir,15 Temmuz Mh. 90/17 Vefa Küçük CaddesiN:1N:1N:N:1,Nevsehir,MERKEZ,38.652003,34.736143,Magaza
J529,Selanik Sok Muradiye Yunusemre Manisa,Muradiye Mh. Manisa Menemen Yolu No:5/BN:172/A,Manisa,YUNUSEMRE,38.652191,27.329195,Magaza
I195,Ýmam Efendi Merkez Elazýð Merkez Elazýð,Ataþehir Mh. Ýmam Efendi Bulvarý No:1N:,Elazig,MERKEZ,38.65282,39.191992,Magaza
A8972,Ýstasyon Caddesi Yunusemre Manisa,Muradiye Mh. Ýstasyon Cd.,Manisa,YUNUSEMRE,38.652968,27.330299,Magaza
J973,Kampüs Yunusemre Manisa,Muradiye Mh. Kampüs Bulvarý No:56-57-58-59,Manisa,YUNUSEMRE,38.653068,27.316952,Magaza
F712,Dede Sokak Yunusemre Manisa,Muradiye Mh.  No:29 A-B-C-DN:29/A-B,Manisa,YUNUSEMRE,38.654018,27.340168,Magaza
A6304,Pazar Yeri Cihanbeyli Konya,Cumhuriyet Mh. N:17/1N:23/1-2,Konya,CIHANBEYLI,38.654579,32.92248,Magaza
D738,Zahitler Merkez Elazýð,Sürsürü Mh. Ýmam Efendi BulvarýN:55N:,Elazig,MERKEZ,38.654919,39.160228,Magaza
G745,Göksu Yunusemre Manisa,Muradiye Mh. 60. Sokak (Göksu Sokak) No:24/A/N:,Manisa,YUNUSEMRE,38.65493,27.341118,Magaza
H474,Konya Caddesi Cihanbeyli Konya,Köprübaþý Mh. Konya Caddesi (Ankara Caddesi) No:135/A,Konya,CIHANBEYLI,38.655173,32.92982,Magaza
E616,Fazlýbey Sokak Yunusemre Manisa,Muradiye Mh. 143 Fýrýn SokakN:143/AN:143/A,Manisa,YUNUSEMRE,38.6552,27.332526,Magaza
F308,Masal Diyarý Merkez Uþak,Fatih Mh. 30/A-B Alparslan Caddesi (ÝbrahiN:30/A-B,Usak,MERKEZ,38.655248,29.410585,Magaza
G938,Kardeþler Merkez Elazýð,Ataþehir Mh. Kuvayi Milliye CaddesiN:5,Elazig,MERKEZ,38.655555,39.169719,Magaza
I428,Barbaros Caddesi Cihanbeyli Konya,Atçeken Mh. Gazi Caddesi (Barbaros Caddesi) N:11,Konya,CIHANBEYLI,38.656258,32.926563,Magaza
A0032,Mahmudiye Özalp Van,Kargalý Mh. 10N:N:N:1,Van,ÖZALP,38.656451,43.987043,Magaza
A8863,Eyyüp Sultan Elazýð,Abdullah Paþa Mh. 1. SokakN:1,Elazig,MERKEZ,38.656711,39.139528,Magaza
D381,Manisa Cad Yunusemre Manisa,Muradiye Mh. 2N:75/A,Manisa,YUNUSEMRE,38.656792,27.341254,Magaza
A0319,Atatürk Caddesi Özalp Van,Kargalý Mh. 36-1 Van Saray YoluN:36-1N:36-1,Van,ÖZALP,38.656846,43.986689,Magaza
A9447,Koldere Mah Saruhanlý Manisa,Koldere Mh. Koldere Köyü Ýç YoluN:3N:3,Manisa,SARUHANLI,38.656919,27.634574,Magaza
I152,Necati Özen Caddesi Merkez Uþak,Cumhuriyet Mh. 1. Þirin Sokak No:5 A/BN:5 A/BN:N:1,Usak,MERKEZ,38.657448,29.403218,Magaza
H054,Nurullah Merkez Elazýð,Abdullah Paþa Mh. 250. SokakN:21,Elazig,MERKEZ,38.657838,39.154694,Magaza
A6930,Özalp Van,Mahmudiye Mh. Mehmet Akif Ersoy Sok. No:21,Van,ÖZALP,38.657939,43.992742,Magaza
